name,price,url
Ginger Biscuit,£5.00,/products/ginger-biscuit-chocolate-bar
Hokey Pokey Blondie Egg & Honeycomb (Large),"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£15.00",/products/hokey-pokey-large-blondie-egg-honeycomb
Hokey Pokey Blondie Egg (Small),"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£7.50",/products/hokey-pokey-small-blondie-egg
Hokey Pokey Milkey Egg (Small),£9.50,/products/hokey-pokey-small-milkey-egg
Hokey Pokey Wicked Egg (Small),£9.50,/products/hokey-pokey-small-wicked-egg
Honeycomb Crunch,£5.00,/products/honeycomb-crunch
Hot Chocolate Shaker,"From £25.00
",/products/hot-chocolate-shaker-new
Luxury Chocolate Hamper,£85.00,/products/luxury-chocolate-hamper
Luxury Chocolate Hamper with bottle of Champagne,£100.00,/products/copy-of-luxury-chocolate-hamper
Luxury Hot Chocolate Hamper,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£50.00",/products/luxury-hot-chocolate-hamper
Marc De Champagne Truffles,£19.95,/products/marc-de-champagne-truffles
Marmalade,£5.00,/products/marmalade-orange-chocolate-bar
Milk Chocolate Honeycomb,£9.00,/products/milk-chocolate-honeycomb-2
Milk Chocolate Honeycomb - Bag,£8.50,/products/milk-chocolate-honeycomb
Milk Chocolate Honeycomb Egg & Honeycomb (Large),£25.00,/products/hokey-pokey-large-milkey-egg-honeycomb
Milk Chocolate Malt Balls,£9.00,/products/milk-chocolate-malt-balls
Milk Chocolate Truffles,£19.95,/products/milk-chocolate-truffles
Mint Creams,£19.95,/products/mint-creams
Mixed Chocolate Mini Eggs,"From £8.95
",/products/mixed-milk-chocolate-mini-eggs
Mother's Day Mystery Hamper,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£50.00",/products/mystery-box
Oat M!lk Hot Chocolate Flakes,£9.95,/products/oat-m-lk-hot-chocolate-flakes
Orange Dark Hot Chocolate Flakes,£9.95,/products/orange-dark-hot-chocolate-flakes
Orange Malt Balls,£9.00,/products/orange-malt-balls
Peppermint Malt Balls,£9.00,/products/peppermint-malt-balls
Peppermint Swirl,£5.00,/products/peppermint-swirl-chocolate-bar
Pistachio & Cranberry,£5.00,/products/pistachio-cranberry-chocolate-bar
Praline Quail Eggs,£9.50,/products/praline-quail-eggs
Pretzel Caramel,£5.00,/products/pretzel-caramel-chocolate-bar
Roasted Almonds,£8.95,/products/cocoa-dusted-almonds
Rose & Violet Creams,£19.95,/products/rose-violet-creams
Salt Caramel Malt Balls,£9.00,/products/salt-caramel-malt-balls
Salt Caramelised Hazelnuts,£8.95,/products/salt-caramelised-hazelnuts
Salted Caramel,£5.00,/products/blonde-chocolate-sea-salt
Salted Caramel Florentines,£11.50,/products/salted-caramel-florentines
Salted Caramel Milk Chocolate Easter Egg,£29.95,/products/copy-of-pre-order-tea-biscuit-easter-egg
Salted Caramel Quail Eggs,£9.50,/products/salted-caramel-quail-eggs
Salted Caramels Blonde Chocolate,£19.95,/products/salted-caramels-blonde-chocolate
Salted Caramels Dark Chocolate,£19.95,/products/salt-caramels-dark-chocolate
Salted Caramels Milk Chocolate,£19.95,/products/salt-caramels-milk-chocolate
Tea & Biscuit Blonde Chocolate Easter Egg,£29.95,/products/pre-order-tea-biscuit-easter-egg
Valrhona Araguani - 72%,£77.50,/products/valrhona-araguani-72
Valrhona Bahibe 46%,£75.00,/products/valrhona-bahibe
Valrhona Biskelia 34%,£75.00,/products/valrhona-biskelia-34
Valrhona Caraibe 66%,£75.00,/products/valrhona-caraibe-66
Valrhona Caramelia 36%,£75.00,/products/valrhona-caramelia-36
Valrhona Dulcey 32%,£77.50,/products/valrhona-dulcey-32
Valrhona Guanaja 70%,£75.00,/products/valrhona-guanaja-70
Valrhona Jivara 40%,£75.00,/products/valrhona-jivara-40
Valrhona Manjari 64%,£75.00,/products/valrhona-manjari-64
Valrhona Opalys 33%,£75.00,/products/valrhona-opalys-33
Velvet White,£5.00,/products/velvet-white-chocolate-bar
